"","diff.fit","low","high","study","treat","bilat_0","age","se"
"12206",-0.228680031805847,-0.366606190481305,-0.101337891494259,"McCormick","Antibiotics","Bilateral",0.88,-0.366606190481305
"12208",-0.067136566769519,-0.226716569267983,0.0879936792590954,"McCormick","Antibiotics","Unilateral",0.9,-0.226716569267983
"12210",-0.227295805343575,-0.363884297661331,-0.100967540207844,"McCormick","Antibiotics","Bilateral",0.92,-0.363884297661331
"12212",-0.0672536966199306,-0.224622653035556,0.0858131312443439,"McCormick","Antibiotics","Unilateral",0.94,-0.224622653035556
"12214",-0.22590702643146,-0.361198036819078,-0.100563104358462,"McCormick","Antibiotics","Bilateral",0.96,-0.361198036819078
"12216",-0.0673558792462486,-0.222665922678598,0.0837888495810839,"McCormick","Antibiotics","Unilateral",0.98,-0.222665922678598
"12218",-0.224513859332844,-0.358548353337696,-0.100123749043306,"McCormick","Antibiotics","Bilateral",1,-0.358548353337696
"12220",-0.0674432275110101,-0.22083907624388,0.0819140429631027,"McCormick","Antibiotics","Unilateral",1.02,-0.22083907624388
"12222",-0.223116468554804,-0.355936165275959,-0.0996486578996981,"McCormick","Antibiotics","Bilateral",1.04,-0.355936165275959
"12224",-0.0675159183873269,-0.219133888564999,0.0801809132450147,"McCormick","Antibiotics","Unilateral",1.06,-0.219133888564999
"12226",-0.221715018802707,-0.353362360113033,-0.0991370367304171,"McCormick","Antibiotics","Bilateral",1.08,-0.353362360113033
"12228",-0.0675741926805181,-0.217541913741697,0.0785813092135853,"McCormick","Antibiotics","Unilateral",1.1,-0.217541913741697
"12230",-0.220309674937829,-0.350827791413041,-0.0985881172245557,"McCormick","Antibiotics","Bilateral",1.12,-0.350827791413041
"12232",-0.0676183362294213,-0.216055207044776,0.0771074431576635,"McCormick","Antibiotics","Unilateral",1.14,-0.216055207044776
"12234",-0.218900601934135,-0.348333275409831,-0.0980011607592717,"McCormick","Antibiotics","Bilateral",1.16,-0.348333275409831
"12236",-0.0676486456705723,-0.214666350770585,0.0757519990126742,"McCormick","Antibiotics","Unilateral",1.18,-0.214666350770585
"12238",-0.21748796482743,-0.34587958749568,-0.097375462283975,"McCormick","Antibiotics","Bilateral",1.2,-0.34587958749568
"12240",-0.0676654449108748,-0.213368324316392,0.0745079723931298,"McCormick","Antibiotics","Unilateral",1.22,-0.213368324316392
"12242",-0.216071928668466,-0.34346745872297,-0.0967103542088986,"McCormick","Antibiotics","Bilateral",1.24,-0.34346745872297
"12244",-0.0676690842331394,-0.212154494045382,0.0733686626017834,"McCormick","Antibiotics","Unilateral",1.26,-0.212154494045382
"12246",-0.214652658477178,-0.341097572337602,-0.0960052102700725,"McCormick","Antibiotics","Bilateral",1.28,-0.341097572337602
"12248",-0.0676599460681269,-0.211018634248437,0.0723276784845938,"McCormick","Antibiotics","Unilateral",1.3,-0.211018634248437
"12250",-0.213230319198032,-0.338770560381902,-0.0952594493328089,"McCormick","Antibiotics","Bilateral",1.32,-0.338770560381902
"12252",-0.0676384400197149,-0.209954986311823,0.0713790045589286,"McCormick","Antibiotics","Unilateral",1.34,-0.209954986311823
"12254",-0.211805075656588,-0.33648700039586,-0.0944725391025178,"McCormick","Antibiotics","Bilateral",1.36,-0.33648700039586
"12256",-0.0676049937495892,-0.208958226454525,0.0705169908096603,"McCormick","Antibiotics","Unilateral",1.38,-0.208958226454525
"12258",-0.210377092515222,-0.334247412247057,-0.0936439997073496,"McCormick","Antibiotics","Bilateral",1.4,-0.334247412247057
"12260",-0.0675600453022045,-0.208023360817128,0.0697362703696639,"McCormick","Antibiotics","Unilateral",1.42,-0.208023360817128
"12262",-0.208946534228321,-0.332052255129746,-0.0927734071121621,"McCormick","Antibiotics","Bilateral",1.44,-0.332052255129746
"12264",-0.0675040399669792,-0.207145581371865,0.0690316291389146,"McCormick","Antibiotics","Unilateral",1.46,-0.207145581371865
"12266",-0.20751356499701,-0.329901924776604,-0.091860396320251,"McCormick","Antibiotics","Bilateral",1.48,-0.329901924776604
"12268",-0.0674374331130334,-0.206320158265034,0.0683978951657251,"McCormick","Antibiotics","Unilateral",1.5,-0.206320158265034
"12270",-0.206078348724879,-0.327796750927959,-0.0909046643204146,"McCormick","Antibiotics","Bilateral",1.52,-0.327796750927959
"12272",-0.0673606875710954,-0.205542355502986,0.0678298618047335,"McCormick","Antibiotics","Unilateral",1.54,-0.205542355502986
"12274",-0.204641048973882,-0.325736995092526,-0.0899059727425507,"McCormick","Antibiotics","Bilateral",1.56,-0.325736995092526
"12276",-0.0672742710067813,-0.20480737827219,0.0673222404558395,"McCormick","Antibiotics","Unilateral",1.58,-0.20480737827219
"12278",-0.203201828920636,-0.323722848634643,-0.0888641501862544,"McCormick","Antibiotics","Bilateral",1.6,-0.323722848634643
"12280",-0.0671786582966132,-0.204110366972986,0.0668696456606765,"McCormick","Antibiotics","Unilateral",1.62,-0.204110366972986
"12282",-0.201760851312904,-0.321754431224118,-0.0877790941857166,"McCormick","Antibiotics","Bilateral",1.64,-0.321754431224118
"12284",-0.0670743360190193,-0.203446494477441,0.0664666724765022,"McCormick","Antibiotics","Unilateral",1.66,-0.203446494477441
"12286",-0.200318278428116,-0.319831789682482,-0.0866507727799746,"McCormick","Antibiotics","Bilateral",1.68,-0.319831789682482
"12288",-0.0669617827201686,-0.202811065168793,0.0661080341878809,"McCormick","Antibiotics","Unilateral",1.7,-0.202811065168793
"12290",-0.198874272033047,-0.317954897225335,-0.0854792256830611,"McCormick","Antibiotics","Bilateral",1.72,-0.317954897225335
"12292",-0.0668414653361942,-0.202199494178869,0.065788550098749,"McCormick","Antibiotics","Unilateral",1.74,-0.202199494178869
"12294",-0.197428993340194,-0.316123653120583,-0.0842645650269093,"McCormick","Antibiotics","Bilateral",1.76,-0.316123653120583
"12296",-0.066713840341887,-0.201607324430853,0.0655031585864371,"McCormick","Antibiotics","Unilateral",1.78,-0.201607324430853
"12298",-0.195982602965557,-0.314337882785852,-0.0830069756620713,"McCormick","Antibiotics","Bilateral",1.8,-0.314337882785852
"12300",-0.0665793567911035,-0.201030251142767,0.0652469323455764,"McCormick","Antibiotics","Unilateral",1.82,-0.201030251142767
"12302",-0.194535260886249,-0.312597338332297,-0.0817067150058747,"McCormick","Antibiotics","Bilateral",1.84,-0.312597338332297
"12304",-0.0664384598531512,-0.200464219624574,0.0650151614236917,"McCormick","Antibiotics","Unilateral",1.86,-0.200464219624574
"12306",-0.193087126399506,-0.310901699561034,-0.0803641124342027,"McCormick","Antibiotics","Bilateral",1.88,-0.310901699561034
"12308",-0.0662915863395371,-0.19990555488913,0.0648034891615809,"McCormick","Antibiotics","Unilateral",1.9,-0.19990555488913
"12310",-0.191638358083802,-0.309250575392617,-0.0789795682350027,"McCormick","Antibiotics","Bilateral",1.92,-0.309250575392617
"12312",-0.0661391604511378,-0.199350974764786,0.0646079394456127,"McCormick","Antibiotics","Unilateral",1.94,-0.199350974764786
"12314",-0.19018911375737,-0.307643505708041,-0.0775535521364727,"McCormick","Antibiotics","Bilateral",1.96,-0.307643505708041
"12316",-0.0659816063133971,-0.198797731283502,0.0644250129028878,"McCormick","Antibiotics","Unilateral",1.98,-0.198797731283502
"12318",-0.188739550436245,-0.306079963630051,-0.076086601389093,"McCormick","Antibiotics","Bilateral",2,-0.306079963630051
"12320",-0.0658193432920912,-0.19824405390385,0.0642521241873958,"McCormick","Antibiotics","Unilateral",2.02,-0.19824405390385
